# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.totalPageDisposalsUs,1777361550990000000,1777361566798000000,1170
FilePageCache.pageLoadsAboveSizeThreshold,1777361550990000000,1777361566798000000,0
StorageLockContext.competingThreads.90P,1777361550990000000,1777361566798000000,0
FilePageCache.disposedBuffers,1777361550990000000,1777361566798000000,314
FilePageCache.pageLoads,1777361550990000000,1777361566798000000,314
FilePageCache.capacityInBytes,1777361550990000000,1777361566798000000,629145600
FilePageCache.pageFastCacheHits,1777361550990000000,1777361566798000000,6240
FilePageCache.uncachedFileAccess,1777361550990000000,1777361566798000000,154
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1777361550990000000,1777361566798000000,41943040
DirectByteBufferAllocator.disposed,1777361550990000000,1777361566798000000,271
StorageLockContext.competingThreads.avg,1777361550990000000,1777361566798000000,0.0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1777361550990000000,1777361566798000000,41943040
DirectByteBufferAllocator.reclaimed,1777361550990000000,1777361566798000000,43
FilePageCache.totalPageLoadsUs,1777361550990000000,1777361566798000000,186170
StorageLockContext.competingThreads.max,1777361550990000000,1777361566798000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1777361550990000000,1777361566798000000,0
FilePageCache.pageHits,1777361550990000000,1777361566798000000,0
FilePageCache.maxRegisteredFiles,1777361550990000000,1777361566798000000,852
DirectByteBufferAllocator.hits,1777361550990000000,1777361566798000000,3
FilePageCache.maxCacheSizeInBytes,1777361550990000000,1777361566798000000,326107136
DirectByteBufferAllocator.misses,1777361550990000000,1777361566798000000,311
writeAction.count,1777361550990000000,1777361566798000000,14
DiskQueryRelay.tasksRequested,1777361550990000000,1777361566798000000,116
DiskQueryRelay.taskExecutionTotalTimeUs,1777361550990000000,1777361566798000000,6163
DiskQueryRelay.tasksExecuted,1777361550990000000,1777361566798000000,116
lexer.VTL.time.ns,1777361550990000000,1777361566798000000,577750
writeAction.max.wait.ms,1777361550990000000,1777361566798000000,39
DiskQueryRelay.taskWaitingTotalTimeUs,1777361550990000000,1777361566798000000,20118
parser.HTML.size.bytes,1777361550990000000,1777361566798000000,1
lexer.VTL.size.bytes,1777361550990000000,1777361566798000000,134
lexer.HTML.size.bytes,1777361550990000000,1777361566798000000,1
parser.HTML.time.ns,1777361550990000000,1777361566798000000,1919834
